,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
507,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,137.0,159.0,199.0
508,0.24500000000000005,0.5585191925620058,-0.05777558195527863,0.7982804571801401,0.4386372332442153,2.165685424949238,139.0,178.60204081632654,232.0
509,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,140.0,179.55555555555554,221.0
510,0.31500000000000006,0.6333012368467128,-46.26453304444491,1.1165976287425645,0.4379253869457464,3.2606601717798216,138.0,170.1031746031746,236.0
511,0.37000000000000005,0.6863662517577698,22.85186183293567,0.9930103622463231,0.6433117983144218,3.908883476483185,138.0,176.3581081081081,255.0
512,0.07,0.29854106607209235,-16.96905339532013,0.38049465064161153,0.23478028029796585,0.882842712474619,137.0,153.64285714285714,187.0
513,0.030000000000000006,0.195441004761168,82.14605054680055,0.223606797749979,0.16329931618554522,0.5,140.0,162.58333333333334,186.0
514,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,139.0,178.77777777777777,201.0
515,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,144.0,167.55555555555554,193.0
516,0.05500000000000001,0.2646283714200614,51.395983992197635,0.27468990781342056,0.256486108721198,0.7414213562373095,138.0,173.36363636363637,203.0
517,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,148.0,161.33333333333334,185.0
518,0.4225000000000001,0.7334464586120832,-70.52507169622925,1.225200296674549,0.6891109266626206,3.88492424049175,138.0,166.4023668639053,214.0
519,0.037500000000000006,0.21850968611841584,82.14605054680055,0.28284271247461906,0.16329931618554522,0.6000000000000001,137.0,166.93333333333334,200.0
520,0.09000000000000002,0.3385137501286538,74.6856541753982,0.4815427608443648,0.2527611014706546,1.1121320343559642,139.0,171.27777777777777,220.0
521,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,162.0,196.22222222222223,231.0
522,0.030000000000000006,0.195441004761168,82.14605054680055,0.223606797749979,0.16329931618554522,0.5,137.0,162.0,178.0
523,0.18000000000000005,0.4787307364817192,71.30713121144528,0.687686955152246,0.38767101027451134,1.9363961030678931,139.0,166.30555555555554,214.0
524,0.05500000000000001,0.2646283714200614,48.241928368532,0.36101159691242357,0.19917486511792049,0.8414213562373096,140.0,166.95454545454547,195.0
525,3.875000000000001,2.221216611645239,-54.30741103396857,3.6496775612627452,2.1811166994857665,25.520205614730322,137.0,178.70967741935485,255.0
526,0.10000000000000002,0.35682482323055426,-7.358356056620853,0.4937891726757557,0.26371813162578106,1.1535533905932738,137.0,173.675,224.0
527,8.370000000000001,3.2645083840347713,-72.04728433899821,6.557586968580681,2.7445761965184543,50.001071401240466,137.0,189.92234169653526,255.0
528,0.06250000000000001,0.28209479177387814,41.07302527340028,0.517099603558154,0.20396078054371142,1.0,138.0,157.52,175.0
529,0.037500000000000006,0.21850968611841584,41.073025273400276,0.2309401076758503,0.20132891827388666,0.5707106781186548,138.0,151.53333333333333,179.0
530,0.22000000000000003,0.5292567428401228,63.626740419971895,0.5852838922099782,0.484453126355111,1.736396103067893,138.0,189.63636363636363,246.0
